"CountryName","P20pop","Percent.in.P20","Maximum.Income.Consumption.NP20","National.P20.Average","National.Rest.Average","Gap.Between.NP20.Rest.2013","minimum.income","growinggap","stuntingtrends","birthregtrends","birthregtrends"
"Albania",89652.92,3.09148,4.31,3.34445225,8.60870885530822,5.26425660530822,2.92,"increasing",,,
"Algeria",420145.056,1.09584,5.07,4.01440065,9.7266601114726,5.7122594614726,3.56,"decreasing","decreasing","about.the.same","about.the.same"
"Angola",10863892,41.7842,1.59,1.121327625,4.88361329922945,3.76228567422945,0.89,"increasing","increasing",,
"Armenia",210615.397,7.28773,3.43,2.657833255,7.03954168625,4.38170843125,2.31,"decreasing","decreasing","about.the.same","about.the.same"
"Australia",80683.2512,0.348976,28.175,20.4696023875,65.247804882577,44.778202495077,16.75,"increasing",,,
"Austria",40217.8416,0.474267,31.175,22.853488425,64.7438881677226,41.8903997427226,19,"increasing",,,
"Azerbaijan",0,0,11.5,10.23131425,16.5780618484589,6.3467475984589,9.51,"decreasing","increasing",,
"Bangladesh",59577689.71,37.8103,2,1.617996,4.22104894520548,2.60305294520548,1.44,"increasing","decreasing","increasing","increasing"
"Belarus",0,0,12.25,9.72538525,23.0712016327055,13.3458163827055,8.38,"increasing",,,
"Belgium",27653.6182,0.247349,28.35,20.481301575,54.7157020035103,34.2344004285103,17,"increasing",,,
"Belize",62618.14,18.4171,2.67,1.5108996,11.3858504424658,9.8749508424658,0.9,"decreasing","decreasing","about.the.same","about.the.same"
"Benin",6652080,66.5208,1.06,0.64472751,3.22979620469178,2.58506869469178,0.29,"increasing","decreasing","increasing","increasing"
"Bhutan",9456.148,1.24423,5.6,4.2292936,14.6540875589041,10.4247939589041,3.57,"increasing",,,
"Bolivia (Plurinational State of)",971865.44,9.34486,4.45,2.532394875,17.0800519661815,14.5476570911815,1.44,"increasing","decreasing",,
"Bosnia and Herzegovina",11602.836,0.322301,9.55,7.01089375,21.506975192637,14.496081442637,6.08,"increasing","decreasing",,
"Botswana",444739.74,20.8798,2.46,1.66135116,14.2057170045205,12.5443658445205,1.29,"increasing",,"increasing","increasing"
"Brazil",11759798.349,5.80989,5.6,3.396386,24.3084103493151,20.9120243493151,2.29,"increasing",,"increasing","increasing"
"Bulgaria",233889.713,3.21719,8.46,5.02823484,20.7010508790411,15.6728160390411,3.27,"increasing",,,
"Burkina Faso",11107534.35,65.0705,1.36,1.07971556,3.12681905520548,2.04710349520548,1,"increasing","decreasing",,
"Burundi",8007196.8,83.4083,0.82,0.61599302,2.0529414710274,1.4369484510274,0.52,"increasing","about.the.same",,
"Cabo Verde",79745.64,15.3357,2.86,2.07004083,9.87925691578767,7.80921608578767,1.7,"increasing",,,
"Cameroon",8209529.88,37.9018,1.62,1.14511158,5.83585909130137,4.69074751130137,0.87,"increasing","decreasing","increasing","increasing"
"Canada",238030.7388,0.676993,28.375,18.9048011875,66.9914709360017,48.0866697485017,14.75,"increasing",,,
"Central African Republic",3878122.5,86.1805,0.42,0.27830355,2.01786931797945,1.73956576797945,0.21,"increasing",,,
"Chad",6460984.14,49.2078,1.27,0.844574765,4.13187000738014,3.28729524238014,0.63,"increasing","increasing","increasing","increasing"
"Chile",270947.772,1.55182,7.38,5.14222533,24.0789505168151,18.9367251868151,4.11,"increasing","decreasing",,
"Colombia",4533216.858,9.57587,3.94,2.46426118,17.0150990885616,14.5508379085616,1.76,"increasing",,"increasing","increasing"
"Comoros",209499.18,28.3107,2.06,1.33407145,7.18267391832192,5.84860246832192,0.98,"decreasing",,,
"Democratic Republic of the Congo",60814278.72,85.2696,0.62,0.42943556,1.83091645246575,1.40148089246575,0.33,"decreasing","decreasing","decreasing","decreasing"
