"longname","name","sentencename","slug","regionslug","lowincome","P20pop","PercentinP20","MaximumIncomeConsumptionNP20","NationalP20Average","NationalRestAverage","GapBetweenNP20Rest2013","minimumincome","growinggap","stuntingtrends","birthregtrends","birthregtrends1","gap_1999","gap_2013","Year","nationalstunting","nationalP20stunting","restP20stunting","NP20Reg","restreg","SecondaryCompletion","nateducYear","p20educYear","secondarycompletionP20","secondarycompletionrest"
"Afghanistan","Afghanistan","Afghanistan","afghanistan","Asia",TRUE,,,,,,,,,,,,,,2013,40.9,,,30,46,,,2015,24.70617,39.539665
"Albania","Albania","Albania","albania","Europe",TRUE,89652.92,3.09148,4.31,3.34445225,8.60870885530822,5.26425660530822,2.92,"increasing","",,"",3.60318031849315,5.26425660530822,,,,,98,98.75,87.2148971557617,2012,2009,39.53157,72.98279
"Algeria","Algeria","Algeria","algeria","Africa",TRUE,420145.056,1.09584,5.07,4.01440065,9.7266601114726,5.7122594614726,3.56,"decreasing","decreasing","stayed constant","about.the.same",4.54418009537671,5.7122594614726,2012,11.7,12.6,11.4,99,100,47.304988861084,2008,2013,38.04037,61.60374
"Angola","Angola","Angola","angola","Africa",TRUE,10863892,41.7842,1.59,1.121327625,4.88361329922945,3.76228567422945,0.89,"increasing","increasing",,"",2.13582680907534,3.76228567422945,2016,37.6,47.4,34.6,10,32.5,,,2015,4.14921,37.89214
"Argentina","Argentina","Argentina","argentina","LAC",TRUE,,,,,,,,,,,,,,,,,,99,99.75,56.3756790161133,2003,,,
"Armenia","Armenia","Armenia","armenia","Asia",TRUE,210615.397,7.28773,3.43,2.657833255,7.03954168625,4.38170843125,2.31,"decreasing","decreasing","stayed constant","about.the.same",3.12925642123288,4.38170843125,2016,9.4,12,8.7,98,99,97.2224578857422,2015,2016,92.89554,97.8938175
"Aruba","Aruba","Aruba","aruba","LAC",FALSE,,,,,,,,,,,,,,,,,,,,60.799690246582,2010,,,
"Australia","Australia","Australia","australia","Oceania",FALSE,80683.2512,0.348976,28.175,20.4696023875,65.247804882577,44.778202495077,16.75,"increasing","",,"",29.1006286900685,44.778202495077,,,,,,,92.6785736083984,2015,,,
"Austria","Austria","Austria","austria","Europe",FALSE,40217.8416,0.474267,31.175,22.853488425,64.7438881677226,41.8903997427226,19,"increasing","",,"",33.5215905629281,41.8903997427226,,,,,,,98.9232177734375,2014,,,
"Azerbaijan","Azerbaijan","Azerbaijan","azerbaijan","Asia",TRUE,0,0,11.5,10.23131425,16.5780618484589,6.3467475984589,9.51,"decreasing","increasing",,"",5.13651592851027,6.3467475984589,2013,18,,,92,94.5,95.6084899902344,2015,2006,84.28015,92.8865575
